step,train_loss,train_perplexity,lr,grad_norm,tokens_seen,tokens_per_sec,elapsed_s,val_loss,val_perplexity
920,2.782644,16.1617,0.0029258997319446096,0.6378,7536640,364220.6,22.9,,
930,2.710697,15.0398,0.0029234896322757296,0.675,7618560,363105.6,23.13,,
940,2.746815,15.5929,0.002921042105417463,0.6621,7700480,358152.7,23.36,,
950,2.629008,13.86,0.002918557223301334,0.6163,7782400,362844.9,23.58,,
960,2.81886,16.7577,0.0029160350589567193,0.6034,7864320,364672.5,23.81,,
970,2.821997,16.8104,0.0029134756865087,0.5825,7946240,359503.2,24.04,,
980,2.689849,14.7294,0.0029108791811758845,0.602,8028160,358789.6,24.26,,
990,2.687595,14.6963,0.0029082456192681956,0.5896,8110080,360676.9,24.49,,
1000,2.788876,16.2627,0.002905575078184631,0.6145,8192000,365373.3,24.72,,
1000,2.788876,16.2627,0.002905575078184631,0.6145,8192000,,25.05,2.719994,15.1802
1010,2.711389,15.0502,0.0029028676364109864,0.5638,8273920,110168.3,25.46,,
1020,2.799167,16.4309,0.0029001233735175495,0.6021,8355840,362284.8,25.68,,
1030,2.613585,13.6479,0.0028973423701567596,0.6413,8437760,362765.9,25.91,,
1040,2.736115,15.4269,0.002894524708060842,0.5941,8519680,364806.9,26.14,,
1050,2.675871,14.525,0.0028916704700394,0.5707,8601600,360771.6,26.36,,
1060,2.665529,14.3755,0.002888779739976986,0.5349,8683520,360900.8,26.59,,
1070,2.65715,14.2556,0.0028858526028306335,0.6174,8765440,364096.8,26.81,,
1080,2.742624,15.5277,0.0028828891446273618,0.5788,8847360,363581.6,27.04,,
1090,2.749005,15.6271,0.002879889452461645,0.5977,8929280,364949.9,27.26,,
1100,2.601555,13.4847,0.0028768536144928563,0.6215,9011200,356060.2,27.49,,
1110,2.792658,16.3243,0.002873781719942674,0.6083,9093120,363126.3,27.72,,
1120,2.693,14.7759,0.002870673859092461,0.5664,9175040,363350.6,27.95,,
1130,2.699538,14.8729,0.00286753012328061,0.5963,9256960,363670.9,28.17,,
1140,2.623003,13.777,0.0028643506048998606,0.6154,9338880,358067.2,28.4,,
1150,2.576665,13.1532,0.0028611353973945824,0.6138,9420800,335220.6,28.64,,
1160,2.681457,14.6064,0.0028578845952580306,0.6807,9502720,312788.6,28.91,,
1170,2.602039,13.4912,0.0028545982940295675,0.6083,9584640,342330.4,29.14,,
1180,2.710155,15.0316,0.0028512765902918547,0.5753,9666560,323973.3,29.4,,
1190,2.656284,14.2433,0.002847919581668015,0.6381,9748480,329375.0,29.65,,
1200,2.622558,13.7709,0.0028445273668187636,0.5716,9830400,335249.3,29.89,,
1210,2.771428,15.9814,0.0028411000454395072,0.5936,9912320,322135.1,30.14,,
1220,2.671053,14.4552,0.0028376377182574163,0.5797,9994240,341565.4,30.38,,
1230,2.595916,13.4089,0.0028341404870284624,0.5726,10076160,335304.0,30.63,,
1240,2.628737,13.8563,0.002830608454534429,0.5954,10158080,343060.5,30.87,,
1250,2.62409,13.792,0.0028270417245798898,0.5347,10240000,340944.5,31.11,,
1250,2.62409,13.792,0.0028270417245798898,0.5347,10240000,,31.45,2.625488,13.8113
